Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
CRWD,"CrowdStrike Holdings, Inc.",278.23,5.56,0.0204,3.473M,3.839M,63.49B,N/A,
ADSK,"Autodesk, Inc.",288.75,1,0.45%,1.82M,1.293M,63.482B,48.79,
VMW,"VMware, Inc.",145.11,-1,-0.73%,1.077M,"999,292",60.797B,29.8,
DOCU,"DocuSign, Inc.",310.05,15,5.26%,9.865M,2.431M,60.409B,N/A,
WIT,Wipro Limited,9.6,0.11,1.16%,1.992M,1.86M,52.426B,33.8,
FTNT,"Fortinet, Inc.",320.19,6,0.02,"707,280","925,792",52.293B,103.49,
PLTR,Palantir Technologies Inc.,26.64,0.13,0.49%,26.653M,42.461M,52.031B,N/A,
SNPS,"Synopsys, Inc.",$336.64,-1.1,-0.33%,"732,494","711,120",51.339B,70.18,
CDNS,"Cadence Design Systems, Inc.",165.71,0.52,0.31%,"899,339",1.167M,45.865B,68.19,
PANW,"Palo Alto Networks, Inc.",468.22,6,1.23%,"946,036",1.19M,45.558B,N/A,
DIDI,DiDi Global Inc.,$9.02,0.21,2.38%,44.892M,54.555M,43.506B,N/A,
DDOG,"Datadog, Inc.",$138.06,0.97,0.0071,1.937M,2.546M,42.801B,N/A,
OKTA,"Okta, Inc.",270.4,-1,-0.50%,2.18M,1.567M,41.821B,N/A,
NET,"Cloudflare, Inc.",130.44,1.83,0.0142,2.332M,3.164M,41.739B,N/A,
CTSH,Cognizant Technology Solutions Corporation,76.55,-1,-0.98%,1.25M,3.182M,40.418B,24.35,
ZS,"Zscaler, Inc.",287.4,5,1.84%,1.789M,1.455M,39.37B,N/A,
CGEMY,Capgemini SE,45.4,0.02,0.04%,"10,322","34,617",38.121B,30.35,
FJTSY,Fujitsu Limited,38.43,0.96,2.56%,"11,548","44,014",38.079B,20.23,
U,Unity Software Inc.,$133.61,0,0.35%,2.635M,3.219M,37.747B,N/A,
TTD,"The Trade Desk, Inc.",78.2,0,0.23%,2.402M,6.031M,37.432B,147.27,
CNSWF,Constellation Software Inc.,"1,754.13",-1,-0.04%,714,723,37.173B,106.21,
EPAM,"EPAM Systems, Inc.",$643.39,10,1.62%,"163,029","271,067",36.435B,94.9,
HOOD,"Robinhood Markets, Inc.",43.35,-1,-2.56%,4.677M,31.78M,36.227B,N/A,
MDB,"MongoDB, Inc.",507.41,106,26.33%,6.101M,"756,182",33.555B,N/A,
HUBS,"HubSpot, Inc.",704.09,20,2.88%,"244,352","402,865",33.096B,N/A,
PATH,UiPath Inc.,63.37,2,2.96%,3.184M,2.976M,32.245B,N/A,
ANSS,"ANSYS, Inc.",368.38,0,-0.01%,"292,992","339,445",32.142B,70.68,
PAYC,"Paycom Software, Inc.",496.26,-5,-0.91%,"253,653","356,042",29.822B,171.24,
APP,AppLovin Corporation,77.98,-0.47,-0.60%,1.117M,"985,453",29.036B,N/A,
BILL,"Bill.com Holdings, Inc.",297.14,10,0.0337,1.702M,1.245M,28.758B,N/A,
AFTPY,Afterpay Limited,98.62,2,1.94%,"18,798","93,409",28.715B,N/A,
AMADF,"Amadeus IT Group, S.A.",62.31,-0.47,-0.76%,408,646,28.016B,N/A,
CDW,CDW Corporation,202.7,-0.56,-0.28%,"384,381","656,156",27.87B,31.02,
AMADY,"Amadeus IT Group, S.A.",61.24,-2,-2.44%,"33,447","65,343",27.535B,N/A,
IT,"Gartner, Inc.",313.35,2,0.005,"361,060","616,076",26.211B,48.82,
ZI,ZoomInfo Technologies Inc.,66.33,1,1.07%,2.615M,3.329M,25.983B,379.03,
SPLK,Splunk Inc.,158.44,0,0.0021,1.359M,2.208M,25.971B,N/A,
XM,Qualtrics International Inc.,48.04,2,3.62%,"748,465",1.064M,24.722B,N/A,
AFRM,"Affirm Holdings, Inc.",93.05,-5.94,-6.00%,6.045M,3.917M,24.667B,N/A,
VRSN,"VeriSign, Inc.",220.23,-0.27,-0.12%,"307,064","484,726",24.638B,39.95,
