Symbol,Name,Price (Intraday),Change,% Change,Volume,Avg Vol (3 month),Market Cap,PE Ratio (TTM),52 Week Range
BDX,"Becton, Dickinson and Company",253.18,-0.64,-0.25%,"928,277",1.305M,72.711B,39.9,
ABLZF,ABB Ltd,36.24,0.76,0.0214,"2,237","14,746",72.697B,13.16,
FISV,"Fiserv, Inc.",109.74,-1,-0.45%,1.945M,3.962M,72.67B,65.28,
VALE,Vale S.A.,14.49,0,-2.23%,35.664M,26.867M,72.331B,4.32,
FRCOY,"Fast Retailing Co., Ltd.",69.55,-0.69,-0.98%,"8,635","19,585",71.672B,52.13,
FRCOF,"Fast Retailing Co., Ltd.",699,-5.96,-0.85%,3,41,71.672B,52.39,
SWGAY,The Swatch Group AG,13.84,0,0.0022,"38,339","41,884",71.651B,25.58,
CME,CME Group Inc.,198.01,5,0.0234,1.889M,1.269M,71.113B,37.01,
XIACY,Xiaomi Corporation,14.05,-0.41,-2.84%,"29,254","28,449",70.952B,15.44,
XIACF,Xiaomi Corporation,2.82,0,-3.42%,"80,490","83,455",70.952B,15.49,
NNDNF,Nidec Corporation,120.60,3,2.85%,340,580,70.649B,57.76,
NJDCY,Nidec Corporation,29.86,0,-0.73%,"42,759","77,768",70.591B,57.2,
ABB,ABB Ltd,34.94,-1,-2.07%,1.214M,1.224M,70.129B,12.69,
MCO,Moody's Corporation,376.27,-1,-0.17%,"337,282","521,992",70.061B,33.92,
DKILY,"Daikin Industries,Ltd.",23.49,0,-1.92%,"52,222","95,549",69.662B,37.73,
DKILF,"Daikin Industries,Ltd.",237.5,-3,-1.42%,28,219,69.662B,38.15,
CI,Cigna Corporation,203.89,1.43,0.71%,1.713M,2.1M,69.345B,8.91,
NPSNY,Naspers Limited,33.12,-0.62,-1.84%,"108,461","346,419",68.892B,13.75,
NAPRF,Naspers Limited,167.2,-2,-1.22%,212,314,68.891B,13.89,
BASFY,BASF SE,18.75,0,-0.48%,"98,968","190,861",68.886B,25.52,
BFFAF,BASF SE,73.43,0,0.00%,130,"1,706",68.782B,24.98,
SFBQF,SoftBank Corp.,14.61,1,6.49%,287,"1,412",68.595B,15.79,
CSX,CSX Corporation,30.42,0,0.70%,9.985M,10.5M,68.582B,20.69,
IVSXF,Investor AB (publ),22.46,0,0.00%,89,493,68.486B,3.65,
IVSBF,Investor AB (publ),22.16,0,0.00%,39,"1,873",68.486B,3.6,
PSTVY,"Postal Savings Bank of China Co., Ltd.",13.39,0,-1.40%,"2,175",699,68.475B,5.77,
REGN,"Regeneron Pharmaceuticals, Inc.",638.9,-7.61,-1.18%,"654,471","748,722",68.334B,11.54,
IBDSF,"Iberdrola, S.A.",$10.90,0.03,0.28%,"9,647","46,979",68.325B,18.69,
ITW,Illinois Tool Works Inc.,215.94,-1.94,-0.89%,"689,781","822,233",68.014B,25.68,
IBN,ICICI Bank Limited,19.54,0,-0.15%,2.141M,5.037M,67.882B,25.18,
IBDRY,"Iberdrola, S.A.",$43.26,-0.31,-0.71%,"110,129","100,692",67.823B,18.55,
DUK-PA,Duke Energy Corporation,$27.50,0,0.00%,"40,921","64,294",67.795B,7.19,
ILMN,"Illumina, Inc.",432.82,0,-0.09%,"811,949","693,733",67.736B,82.88,
SOBKY,SoftBank Corp.,14.28,0.14,0.0095,"18,574","54,187",67.733B,15.44,
PUK-PA,Prudential plc PER SUB 6.50%,26.21,0,-0.11%,"22,191","23,877",67.474B,20.01,
AON,Aon plc,299.17,1,0.30%,"891,878",1.923M,67.537B,32.92,
ICE,"Intercontinental Exchange, Inc.",119.74,0.83,0.70%,1.796M,1.992M,67.432B,23.89,
PBR,Petróleo Brasileiro S.A. - Petrobras,10.3,0,-0.87%,17.547M,26.248M,67.178B,3.48,
PBR-A,Petróleo Brasileiro S.A. - Petrobras,10.02,-0.07,-0.69%,8.13M,10.756M,67.07B,3.39,
SO,The Southern Company,$63.16,0,-0.38%,3.45M,4.002M,66.876B,21.41,
